"","x"
"1","This was a very nice brunch. The waiter was very quick and efficient. The atmosphere was very inviting and the food was delicious and filling. The 1star short of awesome was the silverware had some food stuck on it and that was a concern for me."
"2","I had the kill it skillet, bad for me, but filling and pretty good.  The service was fine.  Go here when you want an old style breakfast any time of the day."
"3","If you head to Cleveland, stop at what I consider one of the best breakfast places in town. I grew up on Yours Truly food in places like Chagrin Blvd's iconic, small location and Chagrin Falls. This morning I had a their very standard scrambled eggs with cheese, bacon and rye bread and everything was done to perfection. They just get breakfast right. Good, strong coffee, well done hash browns and crispy bacon. The Shaker Circle location is a place where everyone knows your name or they're trying to recall it. Parking is the only downside because it is mostly metered if you drive there, so have plenty of quarters handy!"
"4","Can't go wrong with breakfast here and I recommend all day breakfast menu if you are outside of breakfast hours. Great place to bring kids and nice to sit outside in the summer. Outside of breakfast, salads are very good and the chili is solid."
"5","This used to be one of my favorite local spots for breakfast but sadly the service is not what it used to be. Was seated and given coffee by the greeter at 11:23am and literally not one waitstaff stopped at my table until 23 minutes later and it was not busy. I literally had to flag down the greeter who seated me to tell him not one person stopped at my table all awhile they took orders from three other tables around me that came in afterwards, and I see other waitstaff talking, laughing and watching TV. Greeter took my order and I asked for the manager who even took his time coming out. At this point, I told the greeter to just cancel my order and charge me for the coffee. I'm not sticking around. My breakfast was ruined due to the lousy service. If there was a way I could place my order directly with the cooks and retrieve my food  and completely eliminate  any interaction with the waitstaff, I would... They absolutely suck. I hope the YT staff reads this message and GYST!"
"6","Though I love the Chagrin location of Your's Truly, I am sad to say I was disappointed in the Shaker Square location. The food was still up to par however the service left much to be desired. Multiple times throughout the meal, my friends and I genuinely thought our waitress forgot about us... I will still most likely come back because I love the food and the variety they offer but I may either stick with the Chagrin location or opt for takeout."
"7","Good food with generous servings. Gave it 3 stars due to service being a bit slow. Took 10-15 minutes to get have waitress acknowledge us. Food was hot and fresh when it arrived. Lots of Cleveland police officers eating there so we felt very safe ."
"8","I usually like BWW but this place was bad. Pretty empty when we got there at 8pm, a couple of 8-10 people groups came in and there was still plenty of room. First sign of trouble, ""I'll have a ... IPA, draft"", comes back in a bit ""we are out of that"", ""I'll have the Dogfish 60 IPA"" (a pretty standard IPA), comes back in a bit ""we are out of that, how about a Stone IPA"", ""Sure"" I say, comes back in a bit ""we are out of that"", WTF? My wife orders coffee, ""we are out of creamer, we do have milk"", OK, whatever. Put in a order for wings, pretty simple, it's in their name, it took 1/2 an hour for them to show up. They would stop by every 5-10 minutes to see if we wanted a beer refill, no thanks, I'll finish my food and get out of here."
"9","So I am a regular Bdubs customer. As an NCAA coach, I like my wings and sports. I was recently hired at a nearby NCAA college and on my second day here I decided to go to Bdubs. So a few things to point out....1. The bartender was very friendly. He as a male bartender. I don't remember his name. 2. The baseball wild card game was on. I asked if they can turn down the music and put on the sound of the game. They did it. And then the bartender started talking sports with us. He knew his stuff. That was excellent.3. Food was warm and good. Beer was good. No complaints there!So went to another Bdubs in the area and didn't like that one as much so I will be coming here as my first choice for Bdubs."
"10","It's Bdubs - what more can you expect? This location is fairly large, but despite the obvious availability of tables I'm usually waiting for an employee to amble over and get us seated. Luckily, there's a parking lot out back so you're not worried about your meter running out.The cool thing about this Buffalo though, is that it's home to the Sporcle trivia nights on Wednesday evenings. No charge at all to play, just go to the Game Master (sitting with his mic and laptop next to the bar), pick up the answer forms, pick a team name, and play. The game play is a little different from traditional trivia nights I've been to, but it makes it more interesting wagering points on your answers based on how confident you are. Since you're inevitably going to be waiting, you can ask your waiters for the handheld trivia game device which lets you play against other people nearby. A good way to pass the time and learn random facts. Or train for Trivia Crack I suppose. The other obvious choice is to open your mind to the hyper-stimulation provided by virtually every sports channel you could desire (in the US at least) arranged in collage-like fashion on the walls. Come to think of it, I don't even really know what color their walls are because my eyes never make it past the monitors and I've only gone at night.Tuesday (or Thursday?) nights are $0.50 wing nights, which is a good deal if you're a fan of their wings. Unfortunately, I've always felt like I was taking a gamble whenever I get their wings since some of the flavors that sound appealing are either way too saucy or just plain yucky, and others (that I wouldn't order myself but sample from friends) turn out to be decent. I'm actually more of a fan of their appetizers, which turn out to be surprisingly filling as well. The bathrooms are similarly hit or miss. Sometimes there's only one toilet that has been spared a messy fate and there's no more soap, and other times I emerge feeling refreshed and  clean."
"11","I have always been a fan of Olive Garden. This location seems to be very popular and can have up to a two hour wait, so plan ahead. Once in, the staff is very friendly and attentive. I am a picky eater but my requests didn't seem to phase them. I was pleased with the speed of service we received and will likely come back to this location (making sure that there is no wait ahead of time)."
"12","So I'll start off with the negative...the service was not that great. The waiter took forever to come to our table for drinks and breadsticks. So don't go when you're hungry because it's a wait. Other than that I loved the food! Their breadsticks are always warm and fresh. I also had their gnocchi soup which never fails to please me. I created my own pasta. I was very pleased they had whole grain pasta on the menu. So I had whole grain pasta and their parmesan pesto sauce with 2 Italian sausage links. It was a nice meal but as I said before it would have been nice if the server was around more."
"13","This location is under staffed. There aren't enough servers to accommodate all the tables in the Restraunt, but the service more than makes up for the wait ! I got the chicken Alfredo, my mother got the shrimp scampi, and my sister got the shrimp Alfredo. All of our dishes were cooked great. The gnocchi noodle chicken soup is top notch, it's like potato soup, chicken and dumpling, and chicken noodle got together and said, ""TASTE THIS!"" The garlic breadsticks were a bit heavy on the garlic salt. We were given a full table salad to take home, and each one of us were given personal to go breadsticks. Ask for Natalia, she's very friendly and good at her job! Super sharp, on point, and gives you plenty of Andes mint chocolates as you're gearing up to head out. 4/5 stars for having to wait to be seated so long in the middle of the day."
