"","Rating","Number of Friends","Number of Reviews","Review"
"1","4.0","102","39","Yup, got to love the made to order, hot subs.  Even their cold cut subs are pretty good.  Their bread is all fresh and large.  So you do need to be careful, because a medium is a large sandwich.  So my approach is to get a medium, then take all of the contents of one of the halfs and put it into the other.  Wastes bread I know, so save it to snack on if you like.The restaurant is old school and and only has booths.  The booths can only hold 4 adults, so not great for larger groups.The sandwiches are made to order, so at lunch you could end up waiting in line.  Worth it if you have the time."
"2","1.0","3","774","To be honest, I have been really a loyal fan of this sub. Both my husband and I like the grilled sandwiches here very much. But today, I have to submit a complain here. I ordered two grilled sandwiches by phone around noon. (2018-03-7 10:17am) The experience is very very unhappy. The man who answered my phone speak in a very unpolite tone which makes me feel very uncomfortable. At the beginning, I asked to order two medium grilled sandwiches. He asked me which kind. I said I want to build my own. Then he asked me again which kind? I answered I wanted to build my own sub. After that, he start to be rude in his tone and He don't ask me what kind of bread that I want, what choices do I have for the meat, vegetables,...  He just waited there and when I said I want all the vegetables except olives, he said I have to name all the vegetables that I want but do not providing me any choices!!! When I finished my order for the vegetables, he didn't ask me whether I need any source or cheese. Just told me the time that it would be ready and then hang up the phone! You can not imagine how hard his tone is and this experience make me feel do not want to eat sub or anything anymore!!! His tone when he speaked to me makes me feels like I am his enemy!A fan who loves your sub"
"3","3.0","430","7","Chains can only star so high in my life, because they can only be so good (or bad!). This location gets good enough marks. Dibella's is like Subway with better bread. Their small is actually twice the size of what I thought it would be. But they are not going to replace other sandwich shops for me. They really go light on the fillings unfortunately. I actually had to take half the bread away because it was just a horrible ratio of tuna to bread."
"4","4.0","38","328","I'm in love with these subs! I get the Veggie with everything except olives. It was like a party in my mouth!The small had to be at least 7"". I almost couldn't finish, but pushed on because it was so delicious.Take a minute and join Club Bread. I received a small sub for free. This would likely become my sub establishment of choice if it were closer to home.Great food and great service."
"5","4.0","94","166","Stopped in for lunch. Ordered the godfather. I give the sandwich a thumbs up. If you get a large sub, it is huge!"
"6","2.0","39","36","good food , sloppy unfriendly service. I just can't recommend eating here. get it to go. staff is unsmiling, and unfriendly"
"7","1.0","0","24","This Dibellas sucks monkey ass literally! They can't comprehend your order correctly then have attitudes bc they fcked up! Never again ! Ain't no starts bihhh"
"8","4.0","42","2","Fabulous bread and decent amount of meat on BIG sub. My medium is basically two lunches. Tasty pasta salad and no problem with big order for entire office."
"9","1.0","0","168","I am disappointed in management not responding to a complaint. I ordered a vegi sub, being vegan, and told the girl I wanted every vegi. When I got gone it I rained every meat they had. I had to pitch it. Tried contacting the location and received no response back. Poor customer service the girl who made sandwich was very nice bit management needs to figure out how to deal with issues"
"10","1.0",NA,"6","The 1 star represents the service not the food.  Came in at 3 pm in the afternoon and nobody was in there.  Two people behind the counter socializing and didn't even acknowledge we were there until 10 minutes of standing there.  By the way we were only a foot away from them and said they would be with us soon while doing nothing.  Took our order by asking ""what do you want"".  Only ordered two subs and my wife's sub she said no olives and don't toast it in which the ignored both requests.  Took there good old time making it.Only writing this because we love the food and hope service gets better so they can last.  We know the chipotle down the street had to fire rehire everyone and start from scratch because of service issues.  Looks to be a trend."
"11","4.0","33","11","I worked up to courage to give Dibella's another try after my previous disaster of a sandwich on a prior visit.  I followed my own advice and kept it simple.Small cold turkey sub on everything bread.  Loved it.The bread is so fresh and chewy.  Veggies are fresh and the turkey was plentiful.  For a sub shop it gets 4 stars, just be careful what you order.  ie Avoid the Dagwood and avoid the hot sandwiches if it involves cold cuts.  It's quick and cheap (especially if you have someone to share a sandwich with).  It's comparable to Jimmy Johns with better bread and bigger sandwiches."
