"name","ratings","reviews","friends_count","review_count"
"April F.",1,"This was the worse place. <U+00A0>They claim their policy is for patrons to pay $100 deposit if party over 10. Well we weren't told that and when asked for manager he stated they trained everyone to say that. Finally he let us be seated. <U+00A0>After sitting for 45 mins and no one asked if we wanted to place our order, wanted water or anything, <U+00A0>we decided to leave. They lost over $500 just because didn't wanna serve us.","30","1"
"Loreal R.",1,"So the very first time I came to this restaurant I had a really great server however myself and my best friend ended up getting a show and dinner. It was a hot mess the owner got into an altercation with an ex employee and the whole restaurant was now watching them argue. Luckily the chef made up some crazy dessert to make it up for free. That was cute, but the second time our server sucked. She didn't ask if we were coming in for anything special no dialogue whatsoever. (I take it personal because I was a server/waitress and it's just how you make your money) Anywho she sucked pretty much definitely wasn't the same experience like the first. Lastly, my last and final time coming to this place I just wanted some take out. First of all you have to come in and order it like what the hell is the point of take out lol? But anywho it took me 10 mins to order and then 10 extra mins to pay. Honestly, the whole restaurant needs to go back to restaurant training for everyone's position. No one knows what they're doing, they have no personality to make you feel welcomed. The only reason I feel this place is still standing is because the food is actually decent. Not as great as Hot N Juicy in DC but it's up there. I just hope someone from the restaurant actually changes this dynamic. They can totally be the hottest spot out if they get their shhhh together.","87","1"
"Erin R.",1,"PUBLIC HEALTH WARNING: WE WERE SERVED ROTTING FISH. Imagine cutting into a fillet of catfish, bringing the fork close to your face and then gagging on the smell of the worst dirty diaper you can imagine. I was concerned when I stopped in the rest room to wash my hands and found my shoes sticking to the floor as I approached the door. Inside there was a giant hole in the wall down to the metal drywall frame, the sink was DISGUSTING and there was a Mother actually wash the toilet seat with soap and tissue before covering it so her little girl could safely use the facilities. The walls are visibly filthy and my husband found the men's room to be equally neglected. I would have walked out then if we had come alone. But our friend had ordered and was also waiting for her meal. When I called the waitress over to smell the food we had been served. She was visibly shocked and and took the plate straight to the ""manager"" without saying a word. <U+00A0>When she returned she apologized profusely and agreed that the fish smelled like ""butt"". Apparently the manager had initially disagreed with her and suggested that it was a fishy smell!! She had to insist that he put his face in the napkin and be honest about whether he would eat it. Ridiculous. If they have gone nose blind to the smell ROTTING (not spoiled, not slightly old, not low quality. ROTTING) food in the kitchen I wonder how much of it is in there?! We've all left something in the fridge too long. But most people deposit those findings in the trash rather than battering and frying them up for guests. The manager. Lord have mercy, the ""manager"". When he came out, he apologized and then tried to tell me the food wasn't rotting and because they prep their food daily. I asked for his explanation on how else one might achieve a smell like that in food to which he back-peddled and replied ""well, some things might have gotten mixed up in there"". My Translation: ""we are running such a s*#! show in the kitchen that we have no idea what we are serving, how old it is, how to address the basic cleaning and sanitation requirements of running a restaurant or how to protect the public from the dangers of mishandling food. If you die after eating here, we're really sorry about that. ""He further admitted to not having even stepped foot in the bathrooms to check on them and said he had been away. I asked if it was a year-long vacation. It was 2 days. Must have been a very rough 2 days. Then he offered us dessert...as if I would feed a dog anything off the table in there, forget the floor scraps. To clarify, I am no lover of dogs yet as God's creatures, they too deserve better.","0","2"
"Halana H.",1,"Went here 3-17-18 9pm with my kids and their friends, we were told our wait would be 30min. After waiting an hour and then taking two parties of 4 that came in after us,I spoke to someone who said they were waiting on a server that can take our large party. We finally get to our table and sit there for about 5min when our server comes over so we can finally order drinks. Drinks did not come for 10minutes after our order at this point it's 10:30pm <U+00A0>and my daughter is falling asleep at the table. After expressing my disappointment with the server he gets an attitude. Once the food was ordered and came out the attention of our server was minimal. The shrimp was over cooked and soggy. Refills were needed. My kids wanted dessert when asked he looked at his watch and said he does not think it can be done because it was now 11pm (closing time) this is the first I have ever heard of that. The server came back and said that he can place an order for two desserts mind you we had a party of 8! To top this horrible experience off the bill was $306 dollars for over cooked shrimp and bad service. We arrived at this place at 9pm and did not get home until 12! Do not eat here unless you plan on staying here all day and like overcooked seafood!","0","1"
"Jae R.",1,"I visited this location due to a birthday dinner. I went to to the bar to wait for the rest of my party and received the worst attitude from the bartender. After waiting for a 10 minutes to be helped. I placed my drink and appetizer order. After another 10 minutes I decided to change my drink order. I asked had my drink been started and the bartender responded with no. I then asked if could change the drink. The bartender immediately got upset and stated hurry up cause I already rang in your order and was nasty from there. I then declined and told him to cancel the drinks altogether due to his behavior. A few minutes later he came back to apologize.Now on to the dinner service... this had to be the absolute worst customer service I have ever experienced. We were given two servers.. great. We were immediately told that the checks could not be split and had to pay together. I then asked why was this not conveyed when the reservation was made as I had to pay $200 for a deposit. The server then agreed to split the checks 4 ways. The food took forever to come out and those who ordered crab legs were not given a cracker. We were told people steal them and we ran out. After the dinner service was over we had wait about 30 minutes to get the cash deposit back. I will NERVER return here at all. The catfish nuggets were awesome but overall flavor of the broil was just okay. Mix that with bad service I'll NEVER GO AGAIN!","0","2"
"Dora A.",1,"My husband and I were excited to eat here, we came very hungry. Server was nice got us our drinks and took our orders. It wasn't very busy. 25 minutes passes and I realize people who came in after us are getting their food. Our waitress comes back and tells us a couple more minutes. 20 more minutes pass still no food. She comes back and tells us the kitchen just got our ticket... my husband was way to hungry to wait any longer so we ended up leaving. The place looks very cool and everyone was really nice, can't say anything about the food because we didn't try it.","0","1"
"Bob S.",1,"Horrible experience. <U+00A0> The staff was uninterested in providing service, from the bartender, wait staff and management. <U+00A0>Took us 5 minutes to get a draft AT THE BAR. <U+00A0>When we sat down, we got plastic forks because they had two large group of 20 and 30 so I guess they only have 50 sets of silverware ( weird) The menu is either boiled or fried, and expensive. <U+00A0>I had the Cajun chicken salad which was a salad with 6 uneatable Shimp's rolled in Cajun pepper. <U+00A0>I love spicy food as do the folks I was with, and none of us could eat one. <U+00A0>When we told the waitress how bad it was she just said ""that's the way Cajun food is"" and walked away. <U+00A0>When the manager came by and asked how thing were we told them the food was horrible he just shrugged his shoulders and walked away. <U+00A0> <U+00A0>With all the other options in the area, pick another place.","0","6"
"Hanh P.",1,"I visited this past Thursday night and it wasn't my first visit but this one was the worst time I've had here. The place wasn't packed, minus a really large birthday party. I was greeted promptly and asked if I wanted anything to drink, and I asked for a water. It took forever to get my server back to take my order, maybe 20 minutes until he came back around. He apologized for the wait and then asked again what I'd like to drink. This pattern of forgetfulness continued throughout the night. The food took forever to come out, and the waiter explained they were short-staffed tonight which is understandable. I waited roughly another 30-40 minutes for the food and the waiter mentioned that he would bring back a scrap bucket. I waited patiently for the scrap bucket before digging in, but after 5 minutes I assumed he forgot. I then saw him walking around to other tables, mingling with customers he knew. 20 minutes passed and he checked in and asked how things were and I asked again for a scrap bucket. The food is normally very good, but this visit, my crab legs were not up to quality. You can always tell when seafood isn't good quality and I could tell from the way they were cracking and just looked that they were not the freshest in the bunch. They were edible but not great quality. I chose to continue eating because I was starving at that point in the night. Overall, the customer service was terrible and the food quality for the night left a lot to be desired.","159","15"
"Norlynn S.",1,"Totally disappointed! I attended a birthday dinner for a friend. Because we were a large party I expected some hiccups, this was a total disaster. One half of the party was served entrees 40-45 minutes before the other half. We received salads and appetizers 10-20 minutes after entrees. Salads were brought to the table with no salad dressing. Once the salad was delivered to the table we were told they were actually out of the salad dressing. <U+00A0>When we asked the server for a manager he said ""I'm looking for him he disappeared."" When the manager was located 15 minutes later, he was not helpful or apologetic. Moral of the story?DO NOT HAVE A DINNER PARTY HERE!","0","6"
"Nora R.",1,"Can't quite say how the food is.. we sat at the bar for about 20 minutes without anyone even offering us water. We saw how horrifically dirty the bar was kept, and we decided to leave before paying $35+ apiece for what would undoubtedly give us food poisoning. This place has such potential, it's a shame that none of the employees have any idea what they're doing.","0","20"
