"","x"
"1","This used to be one of my favorite local spots for breakfast but sadly the service is not what it used to be. Was seated and given coffee by the greeter at 11:23am and literally not one waitstaff stopped at my table until 23 minutes later and it was not busy. I literally had to flag down the greeter who seated me to tell him not one person stopped at my table all awhile they took orders from three other tables around me that came in afterwards, and I see other waitstaff talking, laughing and watching TV. Greeter took my order and I asked for the manager who even took his time coming out. At this point, I told the greeter to just cancel my order and charge me for the coffee. I'm not sticking around. My breakfast was ruined due to the lousy service. If there was a way I could place my order directly with the cooks and retrieve my food  and completely eliminate  any interaction with the waitstaff, I would... They absolutely suck. I hope the YT staff reads this message and GYST!"
"2","I love YT restaurants in general but after the experience I had last night at this branch, I will not go back until the manager that worked last night is fired. I specifically asked about a certain dish based on the photo in the menu. I needed to know because my gut will have major problems if I have gluten. I was assured by the waiter that it was not battered. What came out was was battered chicken fingers and not the chicken wings I ordered. I was then told that they didn't have chicken wings and walked away without asking me if I wanted anything else. We had already waited 20 or so min for the food to be delivered after ordering and the sandwich I ordered (with gluten free bread) to go with the wings was already only luke warm by that point. I ate the sandwich. The waiter returned when I was halfway done with the sandwich and then asked if I wanted anything instead. By that time i wasn't about to wait another 20 min for another entree. The waiter was very nice and simply made a mistake. I was willing to let this all go but then this happened. The waiter came by with this electronic pad for payment. When I went to select my tip, I noticed the tip amounts were dollars more than what the tip percentages should have been. I pointed it out to the waiter and he was surprised and went to get the manager. The manager came over and said ""what's the problem here?""  I thought the waiter would have told him about the tip percentages being wrong. I showed him my bill and told him that a 20% tip based on my bill would be x amount. And then showed him the device and the tip amount it shows for 20%. Much more. He grumbled words I didn't understand and took the device and started punching stuff in it. I asked him if it was basing the tip amounts on the original figure from before they took off the chicken wings. He looked at me and said we don't sell them here. I told him that I had specifically asked about them and was assured that you did and that nothing was battered because of the gluten intolerance. He wouldn't even look at me and he kept doing stuff with the device. Then he put the device in front of me and said type in what you want to give for a tip. I typed in $3. He said to me, ""is that all?"" I said that's more than 20% but he puts my new receipt down with the tip added into the original amount and no pen to sign, turned around and walked away as fast as possible. Next thing I know, I get an alert on my phone as I always do when I'm at a restaurant or store and purchase something. The amount is $4+ more than the total with the tip. Normally it goes through initially for the amount without the tip and the tip shows up during final processing. I couldn't believe his treatment of me to start with but this was too much. I brought my receipts and phone up to him at the register and asked him why he charged me over $4 more than my total with tip. He said he charged me correctly. I said that my bank charge says otherwise and try to show him. He refuses to look at it and said that he put it in correctly and nothing went through yet. I said it obviously did go through because it's already been charged to my account. He said the correct amount will show up at 4:30 am when the bulk processing happens. I asked him how the wrong amount showed up on my account if he put in the correct amount. He just said the correct amount will show up at 4:30 am. At this point, there was no point in discussing the matter with him any further. I told him it had better be correct and that this has been the worst experience. He never looked at me or apologized.  Mind you, this morning the amount on my bank is still incorrect. This manager has committed fraud and is one of the worst restaurant managers ever. I tend to tip 20-30% based on service. Despite the error the waiter made he was still a good waiter in every other way. His tip was more than 25% based on the total. However, charging me an additional $4+ for what, I don't know, was fraud and that I will not tolerate on any level."
"3","This restaurant is not staffed appropriately to handle the customers.  The server was completely apologetic and hardworking but the length of time it took to be properly seated and served was unacceptable.  The food was good but the service was way too slow."
"4","The service was nice and amicable. The food is a different matter. Of the two items that were ordered, one was foamy and runny for a breakfast burritos. The other had hair in the eggs and one the ham."
"5","I can't tell you about the food... I didn't get waited on! I only recommend NOT to go to this one in Shaker Square."
"6","The food was good. Understaffed beyond belief! Servers running around like crazy, food taking forever to come out of the kitchen (can't really be the servers fault because the orders are being sent in from the handheld device at the table). We split our group in two because the wait was so long, and one table got food 25 minutes before the other, both ordered at the same time.From the sound of it, this is a normal occurrence when they get busy. If they are anywhere close to full, you might want to pick somewhere else."
"7","This restaurant is not staffed appropriately to handle the customers.  The server was completely apologetic and hardworking but the length of time it took to be properly seated and served was unacceptable.  The food was good but the service was way too slow."
"8","I had the kill it skillet, bad for me, but filling and pretty good.  The service was fine.  Go here when you want an old style breakfast any time of the day."
"9","Terrible.  Writing this review while I wait.Husband and I ordered our food at 6:30pm.  Wings, salad, naked tenders, Mac n cheese came out at 7:10.  Immediately I knew that the naked tenders were not ""naked"" and grilled.  They were breaded and fried and someone scraped off the breading but left half of it on the plate.  Our server took it back and said she was sorry.  14 minutes later still waiting. No apology from management.  My husband is done eating while my 15 month old and I are still waiting.  This place is absolutely terrible!"
"10","Terrible! Check out the first picture in my profile of staff and management standing around watching tv! Shameful lazy! 1. Slow service 2. Cold food (wings covered in cold sauce) (burgers and fries cold) burgers dry thin party terrible! 3. MANAGEMENT AWFUL - the two hours we were stuck at this horrible location we watched management along with several other staff just stand at the entrance area watching varies sports on TV. No help to staff - never checked on any tables. Clearly not managing the food coming out of the kitchen. Just standing there watching TV. This is the second experience at this location and certainly the last. Place is not busy if you feel like sitting alone but that will not speed up service or quality of food. Corporate compare your revenues to that of other locations. I'm sure the numbers match this poor review."
"11","Let's start with the housekeeping isn't the greatest.  My waitress then punched in my order wrong.  Finally got that corrected.  They only carry the pink sweetener.  When my new wings come out one is the wrong dry rub.  I've been waiting for about 10 minutes now.  We had to ask three times for napkins. My coworker and I ordered carrots and celery.  Had to ask for those 4 times.  When the manager dropped them off he just put them on the table and walked away.  My waitress just came to my table and asked if I wanted the bill.  No.  I want my freaking wings.  This place is a disaster and should be avoided at all costs."
"12","So I am a regular Bdubs customer. As an NCAA coach, I like my wings and sports. I was recently hired at a nearby NCAA college and on my second day here I decided to go to Bdubs. So a few things to point out....1. The bartender was very friendly. He as a male bartender. I don't remember his name. 2. The baseball wild card game was on. I asked if they can turn down the music and put on the sound of the game. They did it. And then the bartender started talking sports with us. He knew his stuff. That was excellent.3. Food was warm and good. Beer was good. No complaints there!So went to another Bdubs in the area and didn't like that one as much so I will be coming here as my first choice for Bdubs."
"13","The worst service. Been here before and every time it is awful. No one cares about service. They ignore you and talk to each other. I only come back out of desperation. And always have awful service."
"14","Stopped to grab a quick bite and watch a baseball game back in August. Terrible experience. Out of three of the draft beers listed on the menu, on a slow mid-week day too! So the waitress suggested a ""special"" draft. Also out. My husband finally got one after several more tries. I ordered a coffee, and after a shocked look from the server it finally arrived in a paper cup with a pint of milk on the side. No creamer or 1/2 and 1/2."
"15","Service around 7 on a slow Saturday night.   Got wings boneless with mild and buffalo chips. Wings were great I got cheese on chips and that was not as good.Service was not great. Server was very pleasant but had to ask for serve ware and never got beverage refills. Choose carry out if you can."
"16","I placed an online order that was to be ready at 6:10 I arrived at 6:03pm and paid for my order. While waiting I placed another order for fried mushrooms. It is now 6:52 and I was presented with the mushrooms but not my original order!! The server finally retrieved my food and what do you know, it's been sitting and is now cold. I asked to speak to the manager and his response was ""oh I bagged this a long time ago"" there are TWO workers doing the takeout window.. and they are blaming each other for my order not being ready... the manager says ""I wish they would do away with the online ordering because it's not accurate"" it's 2018!!!! How is your online ordering not accurate??? Not to mention it was clearly ready and just never brought up front. Ridiculous and I will never order here again.. going on 7pm and I'm waiting on  a FRESH order. Not to mention I've watched 2 other people leave and come back with messed up orders.. it's chicken and fries people.. oh and while waiting I got to witness a lovely screaming match between two servers in the back.. real professional"
"17","Some of the slowest service I've ever had.Nice server, who you'd think was totally in the weeds, yet the place was boringly quiet. I'll say half full.When we came to pay, we did pay separately, I know, not something I normally recommend.But then it took fifteen to twenty minutes to pay someone, anyone.I'm not going to say its the worst service, or something like, ""I'll never be back.""Bit its not going to be a pick of mine.Just try harder, actually, just try."
"18","I've been to Lake Orion, Mi and Rochester, Mi locations once each and had an excellent time at both.  I'd give 5 stars except the following experience. This was the location in Beachwood, Ohio. Food was yummy. Service varied from ignorant to ok. We, a friend, myself and my toddler, entered with a couple in front of us.  We stood there for several minutes. A man who appeared to be the manager returned twice to the hostess, each time having a long conversation about seating. The restaurant was basically empty. The hostess never even looked at us. Finally, during the second conversation I interrupted to say how long we'd waited and could they seat us. The hostess mumbled something about thinking we were with a group. I really hate having to get pushy to get a normal level of service. After that the service from the waitress was acceptable.  She was definitely struggling to serve a pretty slow section. The hostess and carry out staff continued to carry on conversations instead of doing some work.  Management at this location needs to step it up with hiring. The staff was really low quality for this kind of place."
"19","Terrible.  Writing this review while I wait.Husband and I ordered our food at 6:30pm.  Wings, salad, naked tenders, Mac n cheese came out at 7:10.  Immediately I knew that the naked tenders were not ""naked"" and grilled.  They were breaded and fried and someone scraped off the breading but left half of it on the plate.  Our server took it back and said she was sorry.  14 minutes later still waiting. No apology from management.  My husband is done eating while my 15 month old and I are still waiting.  This place is absolutely terrible!"
"20","My colleague and I grab wings from here once a month around 1 and I have no major complaints. There is usually (when we visit) only a few people dining in but the service is still somewhat slow. However, the food is hot and good so I'll take that over slow and cold any day. The staff is nice and one of the cooks introduced me to the salt n vinegar rub wings...surprisingly good."
"21","I ordered Parmesan garlic wings and received a box of sauce with wings in it. Definitely don't like to dine at places that don't appear to care about my food."
"22","This is only my second time at this location and will be my last. On wing night they only had two servers and one was training another, servicing the entire place. It took 5-10 minutes just to be seated even with management walking past the line of us needing to be seated. It was quickly decided to order drinks and food together so we wouldn't have to wait forever. Thankfully the food was hot and came out fairly quick but no refills on drinks etc as again they were taking care of the whole restaurant. Not blaming the servers, I just believe that if management cared enough or focused on service this location wouldn't be such a terrible place."
"23","Service here is always extremely slow. The employees don't care about providing good service. It once took me an hour to receive a takeout order for their nachos, and the restaurant wasn't even busy. I could deal with the slow service in exchange for some decent food, but I got food poisoning after my most recent visit. Won't be coming back here for a long time, if at all."
"24","I like Buffalo Wild Wings food okay, they're wings are pretty good. To be honest I think I could find cheaper elsewhere that are also better. Went with a group of 5, it must've taken them over half an hour to bring our food out. Either way, we were there for almost two hours and it did not take us long to eat wings. I got the Nacho burger with fries, the fries were classic fries, crispy and right amount of saltiness. Burger was pretty good too, nothing special. I got bone-in dry rub chipotle barbecue wings, the chicken wasn't very tender but the seasoning was great, very flavorful, slightly spicy, just a hint of barbecue. Our waitress came pretty scarcely to our table, we had to flag down a busser to get our water refilled, and that was like an hour into our time there. Mostly rating two stars for minimal service, the time t took for our food to cook and I'd expect better for the price."
"25","Seriously, when I got to Buffalo Wild Wings almost at the end of the first quarter of the season opener, I was on bar number three. The first bar didn't have NFL Sunday Ticket so I could only watch the browns. The second bar was so packed that there wasn't anywhere to go and no servers offered any help or drinks, so we bailed. Finally, Buffalo peeps flailing around in Cleveland, we remembered that there was a new Buffalo Wild Wings where that terrible dance club/bar that was always empty used to be.Wild Wings was expectedly crowded, but there was room to stand in the bar area and we eventually got a table. They have tons of TVs and we were able to easily watch the Browns put up a good fight, the Bills pull out a win, and Miami make Tom Brady cry.This is a pretty standard Wild Wings. The food we ordered was fine and our waitress was great. They were even raffling off a Browns jersey. Our waitress joked that she wasn't sure whether to offer the free tickets to the Pittsburgh table (they were playing the Browns) so I suggested that she tell them that after the Browns beat them, they could use the jersey to wipe away their tears... Too bad Pittsburgh stole the win on a drive in the final seconds of the game.Overall, definitely a good place to watch the games on Sunday. Sad that the places closer to me aren't good choices, but I'll drive up here to watch."
"26","I've never been to an Olive Garden and never will because unlike some people I know the difference between good food and some thing that was cooked up and shipped from Mexico.  They probably have rabbit instead of chicken and the people they call chefs probably walked over from their job at the nearest Taco Bell.  I'm sorry if you like this place but it's obvious that you mistook this place for a Chipotle."
"27","Ordered the steak Gorgonzola, eating my food only to find someone's disgusting finger nail in there. Not to mention your standing waiting forever to be serviced when two girls are right by the front chatting it up paying no attention to the customers waiting to place a hold for their seat. I will make the drive out to the one on Parma from here on."
"28","Terrible. The meat sauce was absolutely tasteless. The meatballs were just, not worth any amount of money. They are literally just a ball of beef that's been boiled. It's sooo bad. If Olive Garden wants to rebrand they should focus on keeping all of their branches on the same page."
"29","Worst Olive Garden experience ever.Tasteless food. The bartender was friendly but so busy that it was hard to get any service. One server was leaning backwards in the bar window and his dreads were nearly in some kid's apple juice. Gross."
"30","Never again. First, the servers do not know how to serve and need to be trained or maybe just care. Second, my knife was filthy and so i asked the server (Nadia G.) for another set. She brought it after i asked a second time. My party and I started off with the stuffed mushrooms and calamari. The mushrooms nearly burnt our mouths from being intensely hot inside. I had the carbonara dish with shrimp and chicken and again my dish with speghetti was piping hot. Speghetti is never piping hot unless it's nuked. The shrimp was very tight because it was nuked also. This took some of the taste away. It was not good. Besides that it was very overpriced. I asked our server how much because the description was not on the menu and she stated $16 and change. When I got the check it was $2 higher.My friend had eggplant parmigiana and he also said he could tell it was nuked. I ordered iced tea with my meal. The server told us we could pay by using the pay yourself option that's on the table but never came back to ask us if we wanted to do that option. After she brought our entrees she disappeared. Never asked me if I wanted a refill of tea or to give us our checks and left our dirty dishes on the table for 45 minutes until I asked someone else if the table could be cleared. We asked for the mgr and informed her of the blazing hot food and we knew it had been nuked and also why our dirty dishes were left in front of us. She apologized and comped us the entrees and kindly asked if we wanted dessert but we passed. When paying the check our server gave my friend about 75 cents too much and shorted me my 58 cent change.  I think she was too lazy to want to count it out. I will never eat here again."
"31","If I could give negative stars I would.   We did the call ahead seating so our wait time was only 5 minutes.  We then sat for 15 minutes before the waitress came over to great us.   We had our full order in at that time.  10 minutes later so got our waters.  10 minutes after that, we got our salads.  15 minutes later, my date got his appetizer.  Another 25 minutes after that, our entrees showed up.  We've been waiting on our check for 15 minutes now. If you're ever waiting at this Olive Garden, it's because the service is lousy.  The food was excellent."
"32","Dirty, staff is unmotivated and poorly trained. Wait for tables too long with many people seated ahead of my party despite them arriving after. Response to complaints to management was half hearted and poorly executed.The food is sub par - never going to this or any of the others again."
"33","Came at 4 o clock with husband and 2 kids. Was told I'd have to wait 15 minutes because theu didn't have enough servers. Although there were 7 people standing behind the welcome counter. Only 2 tables had guest.they were slow. Took over 8 minutes to get water to the table. Window seal covered in dust. Waitress was polite and friendly. Fair prices. Good food."
"34","Terrible experience waited an hour with horrible service.  Receptionist was rude and lied constantly to customers."
"35","What a sad place to have dinner!  This place is by far is the worst establishment I have been to.  The food was standard like in all Olive Gardens,  but the service was just terrible.   They ignored my  reservation, brought wrong wine ( more expensive, of course), brought wrong food, zero apologies.  The manager chickened and didn't come to the table when  asked.  Stay away from this location is my advice."
